mixCode;loadSize;aggregate1_name;aggregate1_target;aggregate1_actual;aggregate2_name;aggregate2_target;aggregate2_actual;aggregate3_name;aggregate3_target;aggregate3_actual;total_cement_target;total_cement_actual;admixture1_name;admixture1_target;admixture1_actual;admixture2_name;admixture2_target;admixture2_actual;admixture3_name;admixture3_target;admixture3_actual;admixture4_name;admixture4_target;admixture4_actual;total_water_target;total_water_actual;ResistenciaConvertida;water_to_cement_ratio
C-1500-4-28-6;236.6;GRAVA;226632.0;225470.0;ARENA;264544.0;283325.0;N/A;0.0;0.0;42588.0;43106.0;EUCON WR 340;212.94;210.14;PLASTOL HR-CM 200;298.13;296.24;ESTABILIZADOR;0.0;0.0;AIRTOC;0.0;0.0;24640.0;25109.0;105.0;0.5824943163364729
C-1500-4-28-6;59.5;GRAVA;56049.0;56175.0;ARENA;62391.0;62125.0;N/A;0.0;0.0;12201.0;12187.0;PLASTOL HDCMB;25.55;24.29;EUCON WR155-CM;64.89;63.91;MAPEPLAST R18A;0.0;0.0;DYNAMON;0.0;0.0;8120.0;7833.0;105.0;0.6427340608845491
C-1500-4-28-6;406.0;"GRAVA 1""";383621.0;385910.0;"GRAVA 1/2""";0.0;0.0;ARENA;426055.0;424025.0;91357.0;91553.0;PLASTOL HR-CMB;186.62;184.87;EUCON WR 155CM;462.7;461.09;ADMX3;0.0;0.0;ADMX4;0.0;0.0;40474.0;40152.0;105.0;0.43856563957489103
C-1500-4-28-6;157.5;"GRAVA 1""";148813.0;149520.0;"GRAVA 1/2""";0.0;0.0;ARENA;164801.0;165270.0;35434.0;35434.0;PLASTOL HR-CMB;72.52;71.68;EUCON WR 155CM;179.48;179.34;ADMX3;0.0;0.0;ADMX4;0.0;0.0;16184.0;16086.0;105.0;0.45397076254444885
C-1500-4-28-6;98.0;"GRAVA 1""";92015.0;91770.0;"GRAVA 1/2""";0.0;0.0;ARENA;101563.0;101045.0;20580.0;20622.0;PLASTOL HRCMB 100;43.12;42.77;EUCON WR155 CM;109.76;109.41;NAMEAD3;0.0;0.0;NAMEAD4;0.0;0.0;12810.0;12719.0;105.0;0.6167684996605567
C-1500-4-28-6;297.5;GRAVA 3/4;278418.0;279965.0;ARENA;306460.0;307755.0;---;0.0;0.0;59500.0;60361.0;WR 340;327.32;326.27;PLASTOL CM 200;416.5;419.37;AIRTOC;0.0;0.0;EUCOESTABILIZADOR;0.0;0.0;41979.0;41636.0;105.0;0.6897831381189841
C-1500-4-28-6;292.6;GRAVA 3/4;278390.0;279615.0;ARENA;308882.0;310310.0;---;0.0;0.0;59640.0;59787.0;WR 340;320.74;322.0;PLASTOL CM 200;417.48;418.81;EUCOESTABILIZADOR;0.0;0.0;AIRTOC;0.0;0.0;37191.0;36799.0;105.0;0.6155016976934785
C-1500-4-28-6;28.0;GRAVA 3/4;26208.0;26495.0;ARENA;29302.0;29330.0;N/A;0.0;0.0;5880.0;5957.0;WR 340;30.59;31.08;PLASTOL CM 200;41.16;41.3;EUCOESTABILIZADOR;0.0;0.0;AIRTOC;0.0;0.0;4354.0;4326.0;105.0;0.7262044653349001
C-1500-4-28-6;10132.5;GRAVA COMUN;9379356.0;9384620.0;GRAVA 1/2;0.0;0.0;ARENA;10412465.0;10420970.0;2187290.0;2199225.0;PLASTOL HR-CMB;3204.81;3109.19;EUCON RD12;9255.68;9132.69;ADMX3;0.0;0.0;ADMX4;0.0;0.0;1581552.0;1571535.0;105.0;0.7145858200047744
C-1500-4-28-6;1599.5;GRAVA COMUN;1505203.0;1507905.0;GRAVA 1/2;0.0;0.0;ARENA;1651769.0;1652035.0;359884.0;360206.0;PLASTOL HR-CMB;735.84;725.97;EUCON WR 155CM;1823.36;1810.83;ADMX3;0.0;0.0;ADMX4;0.0;0.0;192346.0;190862.0;105.0;0.5298690193944576
